data,pais,variavel,valor,atualizacao
2017-01-01,Belgium,"Inflação (Anual, %)",2.12597086002607,2023-12-24T13:31:52Z
2018-01-01,Belgium,"Inflação (Anual, %)",2.05316499865186,2023-12-24T13:31:52Z
2019-01-01,Belgium,"Inflação (Anual, %)",1.43681956996429,2023-12-24T13:31:52Z
2020-01-01,Belgium,"Inflação (Anual, %)",0.740791812220344,2023-12-24T13:31:52Z
2021-01-01,Belgium,"Inflação (Anual, %)",2.44024851144084,2023-12-24T13:31:52Z
2022-01-01,Belgium,"Inflação (Anual, %)",9.597511728725,2023-12-24T13:31:52Z
1981-01-01,Brazil,"Inflação (Anual, %)",101.725072957927,2023-12-24T13:31:52Z
1982-01-01,Brazil,"Inflação (Anual, %)",100.54335919485,2023-12-24T13:31:52Z
1983-01-01,Brazil,"Inflação (Anual, %)",135.027682230473,2023-12-24T13:31:52Z
1984-01-01,Brazil,"Inflação (Anual, %)",192.121733132051,2023-12-24T13:31:52Z
1985-01-01,Brazil,"Inflação (Anual, %)",225.989665211895,2023-12-24T13:31:52Z
1986-01-01,Brazil,"Inflação (Anual, %)",147.142826237604,2023-12-24T13:31:52Z
1987-01-01,Brazil,"Inflação (Anual, %)",228.336162575513,2023-12-24T13:31:52Z
1988-01-01,Brazil,"Inflação (Anual, %)",629.114509120897,2023-12-24T13:31:52Z
1989-01-01,Brazil,"Inflação (Anual, %)",1430.72372514721,2023-12-24T13:31:52Z
1990-01-01,Brazil,"Inflação (Anual, %)",2947.732772483,2023-12-24T13:31:52Z
1991-01-01,Brazil,"Inflação (Anual, %)",432.786661926461,2023-12-24T13:31:52Z
1992-01-01,Brazil,"Inflação (Anual, %)",951.962053052818,2023-12-24T13:31:52Z
1993-01-01,Brazil,"Inflação (Anual, %)",1927.38079016027,2023-12-24T13:31:52Z
1994-01-01,Brazil,"Inflação (Anual, %)",2075.88839757325,2023-12-24T13:31:52Z
1995-01-01,Brazil,"Inflação (Anual, %)",66.0070335542481,2023-12-24T13:31:52Z
1996-01-01,Brazil,"Inflação (Anual, %)",15.7576656002606,2023-12-24T13:31:52Z
1997-01-01,Brazil,"Inflação (Anual, %)",6.92671251629154,2023-12-24T13:31:52Z
1998-01-01,Brazil,"Inflação (Anual, %)",3.19507629280052,2023-12-24T13:31:52Z
1999-01-01,Brazil,"Inflação (Anual, %)",4.85844749902667,2023-12-24T13:31:52Z
2000-01-01,Brazil,"Inflação (Anual, %)",7.04414105947266,2023-12-24T13:31:52Z
2001-01-01,Brazil,"Inflação (Anual, %)",6.84035902487523,2023-12-24T13:31:52Z
2002-01-01,Brazil,"Inflação (Anual, %)",8.45016437708331,2023-12-24T13:31:52Z
2003-01-01,Brazil,"Inflação (Anual, %)",14.7149197228147,2023-12-24T13:31:52Z
2004-01-01,Brazil,"Inflação (Anual, %)",6.59718509985963,2023-12-24T13:31:52Z
2005-01-01,Brazil,"Inflação (Anual, %)",6.86953720898964,2023-12-24T13:31:52Z
2006-01-01,Brazil,"Inflação (Anual, %)",4.18356812896909,2023-12-24T13:31:52Z
2007-01-01,Brazil,"Inflação (Anual, %)",3.64127299102652,2023-12-24T13:31:52Z
2008-01-01,Brazil,"Inflação (Anual, %)",5.67859390284168,2023-12-24T13:31:52Z
2009-01-01,Brazil,"Inflação (Anual, %)",4.88803479876799,2023-12-24T13:31:52Z
2010-01-01,Brazil,"Inflação (Anual, %)",5.03872690108075,2023-12-24T13:31:52Z
2011-01-01,Brazil,"Inflação (Anual, %)",6.6364496221309,2023-12-24T13:31:52Z
2012-01-01,Brazil,"Inflação (Anual, %)",5.40349914036997,2023-12-24T13:31:52Z
2013-01-01,Brazil,"Inflação (Anual, %)",6.20431066640101,2023-12-24T13:31:52Z
2014-01-01,Brazil,"Inflação (Anual, %)",6.32904015516139,2023-12-24T13:31:52Z
2015-01-01,Brazil,"Inflação (Anual, %)",9.02990102416136,2023-12-24T13:31:52Z
2016-01-01,Brazil,"Inflação (Anual, %)",8.73914352329393,2023-12-24T13:31:52Z
2017-01-01,Brazil,"Inflação (Anual, %)",3.44637335032669,2023-12-24T13:31:52Z
2018-01-01,Brazil,"Inflação (Anual, %)",3.66485028376729,2023-12-24T13:31:52Z
2019-01-01,Brazil,"Inflação (Anual, %)",3.73297621216894,2023-12-24T13:31:52Z
2020-01-01,Brazil,"Inflação (Anual, %)",3.21176803803376,2023-12-24T13:31:52Z
2021-01-01,Brazil,"Inflação (Anual, %)",8.30165975585673,2023-12-24T13:31:52Z
2022-01-01,Brazil,"Inflação (Anual, %)",9.28010608956873,2023-12-24T13:31:52Z
1960-01-01,Canada,"Inflação (Anual, %)",1.35869565217392,2023-12-24T13:31:52Z
1961-01-01,Canada,"Inflação (Anual, %)",1.01876675603211,2023-12-24T13:31:52Z
1962-01-01,Canada,"Inflação (Anual, %)",1.06157112526535,2023-12-24T13:31:52Z
1963-01-01,Canada,"Inflação (Anual, %)",1.62815126050428,2023-12-24T13:31:52Z
1964-01-01,Canada,"Inflação (Anual, %)",1.91214470284237,2023-12-24T13:31:52Z
1965-01-01,Canada,"Inflação (Anual, %)",2.33265720081135,2023-12-24T13:31:52Z
1966-01-01,Canada,"Inflação (Anual, %)",3.81565906838453,2023-12-24T13:31:52Z
1967-01-01,Canada,"Inflação (Anual, %)",3.57995226730312,2023-12-24T13:31:52Z
1968-01-01,Canada,"Inflação (Anual, %)",4.05529953917047,2023-12-24T13:31:52Z
1969-01-01,Canada,"Inflação (Anual, %)",4.56155890168292,2023-12-24T13:31:52Z
1970-01-01,Canada,"Inflação (Anual, %)",3.34603981363832,2023-12-24T13:31:52Z
1971-01-01,Canada,"Inflação (Anual, %)",2.70491803278685,2023-12-24T13:31:52Z
1972-01-01,Canada,"Inflação (Anual, %)",4.98802873104551,2023-12-24T13:31:52Z
1973-01-01,Canada,"Inflação (Anual, %)",7.48764728240211,2023-12-24T13:31:52Z
1974-01-01,Canada,"Inflação (Anual, %)",10.997171145686,2023-12-24T13:31:52Z
1975-01-01,Canada,"Inflação (Anual, %)",10.672188595094,2023-12-24T13:31:52Z
1976-01-01,Canada,"Inflação (Anual, %)",7.54173862982148,2023-12-24T13:31:52Z
1977-01-01,Canada,"Inflação (Anual, %)",7.9764453961457,2023-12-24T13:31:52Z
1978-01-01,Canada,"Inflação (Anual, %)",8.97372335151214,2023-12-24T13:31:52Z
1979-01-01,Canada,"Inflação (Anual, %)",9.14467697907181,2023-12-24T13:31:52Z
1980-01-01,Canada,"Inflação (Anual, %)",10.1292205085453,2023-12-24T13:31:52Z
1981-01-01,Canada,"Inflação (Anual, %)",12.4716124148372,2023-12-24T13:31:52Z
1982-01-01,Canada,"Inflação (Anual, %)",10.7689718997139,2023-12-24T13:31:52Z
1983-01-01,Canada,"Inflação (Anual, %)",5.86358802977368,2023-12-24T13:31:52Z
1984-01-01,Canada,"Inflação (Anual, %)",4.30477830391737,2023-12-24T13:31:52Z
1985-01-01,Canada,"Inflação (Anual, %)",3.96203054065205,2023-12-24T13:31:52Z
1986-01-01,Canada,"Inflação (Anual, %)",4.19478629085621,2023-12-24T13:31:52Z
1987-01-01,Canada,"Inflação (Anual, %)",4.3561087122174,2023-12-24T13:31:52Z
